doc_id,item,category,amount,price,discount
1ORomJMoVX,Отбеливатель,бытовая химия,8,89.75,0.0
1ORomJMoVX,Отбеливатель,бытовая химия,5,29.68,0.0
Jubro1rTgM,Сковорода,посуда,1,24.22,3.63
Jubro1rTgM,Чайник,посуда,4,39.39,5.91
Jubro1rTgM,Сковорода,посуда,5,97.87,0.0
Jubro1rTgM,Полотенце,текстиль,1,109.34,0.0
QDuxH2YErh,Полотенце,текстиль,9,48.3,0.0
QDuxH2YErh,Сковорода,посуда,9,68.88,0.0
QDuxH2YErh,Сковорода,посуда,3,79.55,3.98
xCP1GXq4vX,Чайник,посуда,6,40.25,0.0
xCP1GXq4vX,Мерный стакан,кухонная утварь,5,87.45,0.0
